赛季,周数,选手名,裁判总分,估计粉丝票,死忠粉票,路人票,路人票占比,组合得分,预测淘汰,实际淘汰,预测正确
7,4,Warren Sapp,22.0,8541.0,1342.0,7199.0,0.157,0.233,False,False,True
7,5,Brooke Burke,29.0,6091.0,2039.0,4052.0,0.335,0.247,False,False,True
7,5,Cloris Leachman,21.0,9333.0,1497.0,7835.0,0.16,0.258,False,False,True
7,5,Cody Linley,28.0,7431.0,1931.0,5500.0,0.26,0.263,False,False,True
7,5,Lance Bass,21.0,9728.0,1473.0,8255.0,0.151,0.264,False,False,True
7,5,Maurice Greene,27.0,7712.0,1976.0,5737.0,0.256,0.263,False,False,True
7,5,Susan Lucci,22.0,6549.0,1556.0,4993.0,0.238,0.218,False,False,True
7,5,Toni Braxton,22.0,5949.0,1618.0,4331.0,0.272,0.209,True,True,True
7,5,Warren Sapp,25.0,9363.0,1726.0,7637.0,0.184,0.279,False,False,True
7,6,Brooke Burke,26.0,6737.0,2376.0,4361.0,0.353,0.29,False,False,True
7,6,Cloris Leachman,15.0,8377.0,1340.0,7036.0,0.16,0.252,True,True,True
7,6,Cody Linley,23.0,5927.0,2123.0,3804.0,0.358,0.256,False,False,True
7,6,Lance Bass,27.0,8258.0,2523.0,5735.0,0.305,0.325,False,False,True
7,6,Maurice Greene,21.0,8619.0,1966.0,6653.0,0.228,0.294,False,False,True
7,6,Susan Lucci,23.0,6580.0,2077.0,4503.0,0.316,0.268,False,False,True
7,6,Warren Sapp,25.0,8414.0,2279.0,6135.0,0.271,0.315,False,False,True
7,7,Brooke Burke,30.0,6718.0,3193.0,3525.0,0.475,0.353,False,False,True
7,7,Cody Linley,22.0,8197.0,2338.0,5858.0,0.285,0.332,False,False,True
7,7,Lance Bass,25.0,8464.0,2627.0,5836.0,0.31,0.358,False,False,True
7,7,Maurice Greene,25.0,6866.0,2615.0,4251.0,0.381,0.323,False,False,True
7,7,Susan Lucci,24.0,6886.0,2539.0,4347.0,0.369,0.316,True,True,True
7,7,Warren Sapp,21.0,7861.0,2267.0,5594.0,0.288,0.318,False,False,True
7,8,Brooke Burke,27.5,7973.0,3604.0,4369.0,0.452,0.385,False,False,True
7,8,Cody Linley,24.0,9765.0,3151.0,6614.0,0.323,0.396,False,False,True
7,8,Lance Bass,25.0,10471.0,3271.0,7200.0,0.312,0.419,False,False,True
7,8,Maurice Greene,24.0,9209.0,3104.0,6105.0,0.337,0.384,True,True,True
7,8,Warren Sapp,27.0,9610.0,3486.0,6124.0,0.363,0.416,False,False,True
7,9,Brooke Burke,24.5,8722.0,4310.0,4412.0,0.494,0.451,False,False,True
7,9,Cody Linley,23.0,9281.0,4061.0,5219.0,0.438,0.449,True,True,True
7,9,Lance Bass,28.5,11944.0,5066.0,6878.0,0.424,0.567,False,False,True
7,9,Warren Sapp,24.5,12218.0,4131.0,8087.0,0.338,0.534,False,False,True
7,10,Brooke Burke,30.0,9981.0,6542.0,3439.0,0.655,0.622,True,False,False
7,10,Lance Bass,27.5,13794.0,5929.0,7866.0,0.43,0.695,False,False,False
